"formName","defaultLang","language","contactTitle","name","countryOrRegionTitle","countryOrRegion","phoneTitle","phone","displayPhone","globalPhone","displayGlobalPhone","international","webpageTitle","displayWebpage","webpageUrl","addressTitle","address","informationTitle","information"
"FAC_7","en","en","Contact Us","FANUC America","Country or Region","U.S.A","Phone","8883268287","888-326-8287","+18883268287","+1-888-326-8287","International","Web page","https://www.fanucamerica.com","https://www.fanucamerica.com","Address","3900 West Hamlin Rd.Rochester Hills, Michigan 48309-3253","Information","Telephone inquries are welcome at +1-888-326-8287"
"FAC_11","en","en","Contact Us","METHODS","Country or Region","U.S.A","Phone","9782741000","978-274-1000","+19782741000","+1-978-274-1000","International","Web page","https://www.methodsmachine.com","https://www.methodsmachine.com","Address","64 UNION AVE, SUDBURY, MA  01776","Information",""
"FAC_12","en","en","Contact Us","MILACRON","Country or Region","U.S.A","Phone","8002888306","800-288-8306","+18002888306","+1-800-288-8306","International","Web page","https://www.milacron.com","https://www.milacron.com","Address","4165 HALF ACRE ROAD, BATAVIA, OH  45103","Information",""
"FAC_15","en","en","Contact Us","FANUC America","Country or Region","Canada","Phone","8883268287","888-326-8287","+18883268287","+1-888-326-8287","International","Web page","https://www.fanucamerica.com","https://www.fanucamerica.com","Address","6774-A Financial Drive Mississauga, Ontario L5N 7J6","Information","Telephone inquries are welcome at +1-888-326-8287"
"FAC_17","en","en","Contact Us","FANUC Canada","Country or Region","Canada","Phone","9058122300","905-812-2300","+19058122300","+1-905-812-2300","International","Web page","https://www.fanucamerica.com","https://www.fanucamerica.com","Address","6774 Financial Drive Mississauga, Ontario L5N 7J6","Information","Telephone inquries are welcome at +1-905-812-2300"
"FAC_19","en","en","Contact Us","METHODS/ELLIOTT","Country or Region","Canada","Phone","9058292211","905-829-2211","+19058292211","+1-905-829-2211","International","Web page","https://methodsmachine.com","https://methodsmachine.com","Address","2120 Buckingham Road, Oakville, ON, L6H 5X2","Information",""
"FMS_31","en","es","Contáctenos","FANUC México - Aguascalientes","País o Región","México","Teléfono","04499228000","0449-922-8000","+524499228000","+52-449-922-8000","Internacional","Página WEB","","","Dirección","Circuito Aguascalientes Norte 136, San Francisco de los Romo, Aguascalientes, México","Información","+52-449-922-8000 horarios de oficina 8 am a 6 pm entre semana y +52-800-017-6268 unicamente emergencias fuera de horario de oficina"
"FMS_31","en","en","Contact Us","FANUC México - Aguascalientes","Country or Region","Mexico","Phone","04499228000","0449-922-8000","+524499228000","+52-449-922-8000","International","Web page","","","Address","Circuito Aguascalientes Norte 136, San Francisco de los Romo, Aguascalientes, Mexico","Information","+52-449-922-8000 from 8 am to 6 pm on weekdays and +52-800-017-6268 for emergencies only out of office hours"
"FSO_95","en","pt","Contacte-nos","FANUC South America - São paulo","País ou Região","Brasil","Telefone","01139528888","011-3952-8888","+551139528888","+55-11-3952-8888","Internacional","Web page","https://www.fanucamerica.com","https://www.fanucamerica.com","Endereço","Av. Embaixador Macedo Soares, 10001 Predio 6 Espaço 1 (Condominio e-Business Park) Vila Anastácio - São Paulo - SP - Brasil","Informação","Suporte Telefônico 24x7"
"FSO_95","en","en","Contact Us","FANUC South America - Sao Paulo","Country or Region","Brazil","Phone","01139528888","011-3952-8888","+551139528888","+55-11-3952-8888","International","Web page","https://www.fanucamerica.com","https://www.fanucamerica.com","Address","Av. Embaixador Macedo Soares, 10001 Predio 6  Espaco 1 (Condominio e-Business Park) Vila Anastacio - São Paulo - SP – Brasil","Information","Hotline 24x7"
"FSO_97","en","en","Contact Us","FANUC South America - Sao Paulo","Country or Region","Brazil","Phone","01136190599","011-3619-0599","+551136190599","+55-11-3619-0599","International","Web page","https://www.fanucamerica.com","https://www.fanucamerica.com","Address","Av. Embaixador Macedo Soares, 10001 Predio 6  Espaco 1 (Condominio e-Business Park) Vila Anastacio - São Paulo - SP – Brasil","Information","Hotline 24x7"
"FSO_97","en","pt","Contacte-nos","FANUC South America - São paulo","País ou Região","Brasil","Telefone","01136190599","011-3619-0599","+551136190599","+55-11-3619-0599","Internacional","Web page","https://www.fanucamerica.com","https://www.fanucamerica.com","Endereço","Av. Embaixador Macedo Soares, 10001 Predio 6 Espaço 1 (Condominio e-Business Park) Vila Anastácio - São Paulo - SP - Brasil","Informação","Suporte Telefônico 24x7"
"FSO_100","en","en","Contact Us","MILACRON - Campinas","Country or Region","Brazil","Phone","01935184040","019-3518-4040","+551935184040","+55-19-3518-4040","International","Web page","https://www.milacron.com","https://www.milacron.com","Address","R. James Clerk Maxwel, 280 - Techno Park, Campinas - SP","Information",""
"FSO_103","en","en","Contact Us","FANUC South America - Buenos Aires","Country or Region","Argentine","Phone","01149428504","011-4942-8504","+541149428504","+54-11-4942-8504","International","Web page","https://www.fanucamerica.com","https://www.fanucamerica.com","Address","Avenida Juan de Garay 2338, C1256AAS Buenos Aires, Argentina","Information",""
