lang,lang_ja,AD,AL,AM,AR,AT,AZ,BA,BD,BE,BG,BO,BR,BT,BW,BY,BZ,CA,CH,CL,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EE,EG,ES,FI,FR,GB,GF,GR,GT,GY,HN,HR,HU,ID,IE,IL,IN,IS,IT,KG,KR,KZ,LI,LK,LS,LT,LU,LV,MA,MC,MD,ME,MK,MT,MX,MY,NA,NI,NL,NO,NP,PA,PE,PL,PT,PY,RO,RS,RU,SE,SI,SK,SM,SR,SV,SZ,TJ,TM,TN,TR,TT,TW,US,UY,UZ,VA,VE,VN,XK,ZA,ZW,JP,AU,NZ,SG,MM,TH,PH
en,英語,Andorra,Albania,Armenia,Argentina,Austria,Azerbaijan,Bosnia and Herzegovina,Bangladesh,Belgium,Bulgaria,Bolivia,Brazil,Bhutan,Botswana,Belarus,Belize,Canada,Switzerland,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,Algeria,Ecuador,Estonia,Egypt,Spain,Finland,France,United Kingdom,French Guiana,Greece,Guatemala,Guyana,Honduras,Croatia,Hungary,Indonesia,Ireland,Israel,India,Iceland,Italy,Kyrgyzstan,Korea,Kazakhstan,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Monaco,Moldova,Montenegro,Macedonia,Malta,Mexico,Malaysia,Namibia,Nicaragua,Netherlands,Norway,Nepal,Panama,Peru,Poland,Portugal,Paraguay,Romania,Serbia,Russian Federation,Sweden,Slovenia,Slovakia,San Marino,Suriname,El Salvador,Swaziland,Tajikistan,Turkmenistan,Tunisia,Turkey,Trinidad and Tobago,Taiwan,United States,Uruguay,Uzbekistan,Vatican City State,Venezuela,Viet Nam,Republic of Kosovo,South Africa,Zimbabwe,Japan,Australia,New Zealand,Singapore,Myanmar,Thailand,Philippines
bn,ベンガル語,আন্ডোরা,আলবেনিয়া,আর্মেনিয়া,আর্জেন্টিনা,অস্ট্রিয়া,আজারবাইজান,বসনিয়া ও হার্জেগোভিনা,বাংলাদেশ,বেলজিয়াম,বুলগেরিয়া,বলিভিয়া,ব্রাজিল,ভুটান,বোতসোয়ানা,বেলারুশ,বেলিজ,কানাডা,সুইজারল্যান্ড,চিলি,চীন,কলম্বিয়া,কোস্টারিকা,সাইপ্রাস,চেক প্রজাতন্ত্র,জার্মানি,ডেনমার্ক,আলজেরিয়া,ইকুয়েডর,এস্তোনিয়া,মিশর,স্পেন,ফিনল্যান্ড,ফ্রান্স,যুক্তরাজ্য,ফরাসি গায়ানা,গ্রীস,গুয়াতেমালা,গিয়ানা,হন্ডুরাস,ক্রোয়েশিয়া,হাঙ্গেরি,ইন্দোনেশিয়া,আয়ারল্যান্ড,ইস্রায়েল,ভারত,আইসল্যান্ড,ইতালি,কিরগিজস্তান,কোরিয়া,কাজাখস্তান,লিচেনস্টেইন,শ্রীলংকা,লেসোথো,লিথুয়ানিয়া,লাক্সেমবার্গ,লাটভিয়া,মরক্কো,মোনাকো,মোল্দাভিয়া,মন্টিনিগ্রো,ম্যাসিডোনিয়া,মাল্টা,মেক্সিকো,মালয়েশিয়া,নামিবিয়া,নিকারাগুয়া,নেদারল্যান্ডস,নরওয়ে,নেপাল,পানামা,পেরু,পোল্যান্ড,পর্তুগাল,প্যারাগুয়ে,রোমানিয়া,সার্বিয়া,রাশিয়ান ফেডারেশন,সুইডেন,স্লোভেনিয়া,স্লোভাকিয়া,সান মারিনো,সুরিনাম,এল সালভাদর,সোয়াজিল্যান্ড,তাজিকিস্তান,তুর্কমেনিস্তান,তিউনিসিয়া,তুরস্ক প্রজাতন্ত্র,ত্রিনিদাদ ও টোবাগো,তাইওয়ান,যুক্তরাষ্ট্র,উরুগুয়ে,উজবেকিস্তান,ভ্যাটিকান সিটি স্টেট,ভেনিজুয়েলা,ভিয়েতনাম নাম,কসোভো প্রজাতন্ত্র,দক্ষিন আফ্রিকা,জিম্বাবুয়ে,জাপান,অস্ট্রেলিয়া,নিউজিল্যান্ড,সিঙ্গাপুর,মায়ানমার,থাইল্যান্ড,ফিলিপিন্স
bs,ボスニア語,Andora,Albanija,Jermenija,Argentina,Austrija,Azerbejdžan,Bosna i Hercegovina,Bangladeš,Belgija,Bugarska,Bolivija,Brazil,Butan,Bocvana,Bjelorusija,Belize,Kanada,Švicarska,Čile,kina,Kolumbija,kosta rika,Kipar,Češka Republika,Njemačka,Danska,Alžir,Ekvador,Estonija,Egipat,Španija,Finska,Francuska,ujedinjeno kraljevstvo,Francuska Gvajana,Grčka,Gvatemala,Gvajana,Honduras,Hrvatska,mađarska,Indonezija,Irska,Izrael,Indija,Island,Italija,Kirgistan,Koreja,Kazahstan,Lihtenštajn,Šri Lanka,Lesoto,Litvanija,Luksemburg,Letonija,Maroko,Monako,Moldavija,Crna Gora,Makedonija,Malta,Meksiko,Malezija,Namibija,Nikaragva,Holandija,Norveška,Nepal,Panama,Peru,Poljska,Portugal,Paragvaj,Rumunija,Srbija,Ruska Federacija,Švedska,Slovenija,Slovačka,San Marino,Surinam,El Salvador,Svazilend,Tadžikistan,Turkmenistan,Tunis,Republika Turska,Trinidad i Tobago,Tajvan,Sjedinjene Države,Urugvaj,Uzbekistan,Država Vatikan,Venezuela,Vijetnam,Republika Kosovo,Južna Afrika,Zimbabve,Japan,Australija,Novi Zeland,Singapur,Myanmar,Tajland,Filipini
zh-cn,中国語（簡体）,安道尔,阿尔巴尼亚,亚美尼亚,阿根廷,奥地利,阿塞拜疆,波斯尼亚和黑塞哥维那（简称：波黑,孟加拉国,比利时,保加利亚,玻利维亚,巴西,不丹,博茨瓦纳,白俄罗斯,伯利兹,加拿大,瑞士,智利,中国,哥伦比亚,哥斯达黎加,塞浦路斯,捷克共和国,德国,丹麦,阿尔及利亚,厄瓜多尔,爱沙尼亚,埃及,西班牙,芬兰,法国,英国,法属圭亚那,希腊,危地马拉,圭亚那,洪都拉斯,克罗地亚,匈牙利,印度尼西亚,爱尔兰,以色列,印度,冰岛,意大利,吉尔吉斯斯坦,朝鲜,哈萨克斯坦,列支敦士登,斯里兰卡,莱索托,立陶宛,卢森堡,拉脱维亚,摩洛哥,摩纳哥,摩尔多瓦,黑山共和国,马其顿,马耳他,墨西哥,马来西亚,纳米比亚,尼加拉瓜,荷兰,挪威,尼尼泊尔,巴拿马,秘鲁,波兰,葡萄牙,巴拉圭,罗马尼亚,塞尔维亚,俄罗斯联邦,瑞典,斯洛文尼亚,斯洛伐克,圣马力诺,苏里南,萨尔瓦多,斯威士兰,塔吉克斯坦,土库曼斯坦,突尼斯,土耳其共和国,特立尼达和多巴哥,台湾,美国,乌拉圭,乌兹别克斯坦,梵蒂冈城国,委内瑞拉,越南,科索沃共和国,南非,津巴布韦,日本,澳大利亚,新西兰,新加坡,缅甸,泰国,菲律宾
zh-tw,中国語（繁体）,安道爾,阿爾巴尼亞,亞美尼亞,阿根廷,奧地利,阿塞拜疆,波斯尼亞和黑塞哥維那（簡稱：波黑,孟加拉國,比利時,保加利亞,玻利維亞,巴西,不丹,博茨瓦納,白俄羅斯,伯利茲,加拿大,瑞士,智利,中國,哥倫比亞,哥斯達黎加,塞浦路斯,捷克共和國,德國,丹麥,阿爾及利亞,厄瓜多爾,愛沙尼亞,埃及,西班牙,芬蘭,法國,英國,法屬圭亞那,希臘,危地馬拉,圭亞那,洪都拉斯,克羅地亞,匈牙利,印度尼西亞,愛爾蘭,以色列,印度,冰島,意大利,吉爾吉斯斯坦,朝鮮,哈薩克斯坦,列支敦士登,斯里蘭卡,萊索托,立陶宛,盧森堡,拉脫維亞,摩洛哥,摩納哥,摩爾多瓦,黑山共和國,馬其頓,馬耳他,墨西哥,馬來西亞,納米比亞,尼加拉瓜,荷蘭,挪威,尼尼泊爾,巴拿馬,秘魯,波蘭,葡萄牙,巴拉圭,羅馬尼亞,塞爾維亞,俄羅斯聯邦,瑞典,斯洛文尼亞,斯洛伐克,聖馬力諾,蘇里南,薩爾瓦多,斯威士蘭,塔吉克斯坦,土庫曼斯坦,突尼斯,土耳其共和國,特立尼達和多巴哥,台灣,美國,烏拉圭,烏茲別克斯坦,梵蒂岡城國,委內瑞拉,越南,科索沃共和國,南非,津巴布韋,日本,澳大利亞,新西蘭,新加坡,緬甸,泰國,菲律賓
hr,クロアチア語,Andora,Albanija,Armenija,Argentina,Austrija,Azerbejdžan,Bosna i Hercegovina,Bangladeš,Belgija,Bugarska,Bolivija,Brazil,Butan,Bocvana,Bjelorusija,Belize,Kanada,Švicarska,Čile,Kina,Kolumbija,Kostarika,Cipar,Češka Republika,Njemačka,Danska,Alžir,Ekvador,Estonija,Egipat,Španjolska,Finska,Francuska,Ujedinjeno Kraljevstvo,Francuska Gvajana,Grčka,Gvatemala,Gvajana,Honduras,Hrvatska,Mađarska,Indonezija,Irska,Izrael,Indija,Island,Italija,Kirgistan,Koreja,Kazahstan,Lihtenštajn,Šri Lanka,Lesoto,Litva,Luksemburg,Latvija,Maroko,Monako,Moldavija,Crna Gora,Makedonija,Malta,Meksiko,Malezija,Namibiji,Nikaragva,Nizozemska,Norveška,Nepal,Panama,Peru,Poljska,Portugal,Paragvaj,Rumunjska,Srbija,Ruska Federacija,Švedska,Slovenija,Slovačka,San Marino,Surinam,El Salvador,Svazilend,Tadžikistana,Turkmenistana,Tunis,Republika Turska,Trinidad i Tobago,Tajvan,Ujedinjene države,Urugvaj,Uzbekistana,Država Vatikan,Venezuela,Vijetnam,Republika Kosovo,Južna Afrika,Zimbabve,Japan,Australija,Novi Zeland,Singapur,Mijanmar,Tajland,Filipini
cs,チェコ語,Andorra,Albánie,Arménie,Argentina,Rakousko,Ázerbajdžán,Bosna a Hercegovina,Bangladéš,Belgie,Bulharsko,Bolívie,Brazílie,Bhútán,Botswana,Bělorusko,Belize,Kanada,Švýcarsko,Chile,Čína,Kolumbie,Kostarika,Kypr,Česká republika,Německo,Dánsko,Alžírsko,Ekvádor,Estonsko,Egypt,Španělsko,Finsko,Francie,Spojené království,Francouzská Guyana,Řecko,Guatemala,Guyana,Honduras,Chorvatsko,Maďarsko,Indonésie,Irsko,Izrael,Indie,Island,Itálie,Kyrgyzstán,Korea,Kazachstán,Lichtenštejnsko,Srí Lanka,Lesotho,Litva,Lucembursko,Lotyšsko,Maroko,Monako,Moldavsko,Černá Hora,Makedonie,Malta,Mexiko,Malajsie,Namibie,Nikaragua,Holandsko,Norsko,Nepál,Panama,Peru,Polsko,Portugalsko,Paraguay,Rumunsko,Srbsko,Ruská Federace,Švédsko,Slovinsko,Slovensko,San Marino,Surinam,El Salvador,Svazijsko,Tádžikistán,Turkmenistán,Tunisko,Turecká republika,Trinidad a Tobago,Tchaj-wan,Spojené státy,Uruguay,Uzbekistán,Vatikánský městský stát,Venezuela,Vietnam,Republika Kosovo,Jižní Afrika,Zimbabwe,Japonsko,Austrálie,Nový Zéland,Singapur,Myanmar,Thajsko,Filipíny
da,デンマーク語,Andorra,Albanien,Armenien,Argentina,Østrig,Aserbajdsjan,Bosnien-Hercegovina,Bangladesh,Belgien,Bulgarien,Bolivia,Brasilien,Bhutan,Botswana,Hviderusland,Belize,Canada,Schweiz,Chile,Kina,Colombia,Costa Rica,Cypern,Tjekkiet,Tyskland,Danmark,Algeriet,Ecuador,Estland,Egypten,Spanien,Finland,Frankrig,Det Forenede Kongerige,Fransk Guyana,Grækenland,Guatemala,Guyana,Honduras,Kroatien,Ungarn,Indonesien,Irland,Israel,Indien,Island,Italien,Kirgisistan,Korea,Kasakhstan,Liechtenstein,Sri Lanka,Lesotho,Litauen,Luxembourg,Letland,Marokko,Monaco,Moldova,Montenegro,Makedonien,Malta,Mexico,Malaysia,Namibia,Nicaragua,Holland,Norge,Nepal,Panama,Peru,Polen,Portugal,Paraguay,Rumænien,Serbien,Den Russiske Føderation,Sverige,Slovenien,Slovakiet,San Marino,Surinam,El Salvador,Swaziland,Tadsjikistan,Turkmenistan,Tunesien,Republikken Tyrkiet,Trinidad og Tobago,Taiwan,Forenede Stater,Uruguay,Usbekistan,Vatikanstaten,Venezuela,Vietnam,Republikken Kosovo,Sydafrika,Zimbabwe,Japan,Australien,New Zealand,Singapore,Myanmar,Thailand,Filippinerne
nl,オランダ語,Andorra,Albanië,Armenië,Argentinië,Oostenrijk,Azerbeidzjan,Bosnië-Herzegovina,Bangladesh,Belgie,Bulgarije,Bolivia,Brazilië,Bhutan,Botswana,Wit-Rusland,Belize,Canada,Zwitserland,Chili,China,Colombia,Costa Rica,Cyprus,Tsjechië,Duitsland,Denemarken,Algerije,Ecuador,Estland,Egypte,Spanje,Finland,Frankrijk,Verenigd Koninkrijk,Frans Guyana,Griekenland,Guatemala,Guyana,Honduras,Kroatië,Hongarije,Indonesië,Ierland,Israël,India,IJsland,Italië,Kirgizië,Korea,Kazachstan,Liechtenstein,Sri Lanka,Lesotho,Litouwen,Luxemburg,Letland,Marokko,Monaco,Moldavië,Montenegro,Macedonië,Malta,Mexico,Maleisië,Namibië,Nicaragua,Nederland,Noorwegen,Nepal,Panama,Peru,Polen,Portugal,Paraguay,Roemenië,Servië,Russische Federatie,Zweden,Slovenië,Slowakije,San Marino,Suriname,El Salvador,Swaziland,Tadzjikistan,Turkmenistan,Tunesië,republiek van Turkije,Trinidad en Tobago,Taiwan,Verenigde Staten,Uruguay,Oezbekistan,Vaticaanstad,Venezuela,Vietnam,Republiek Kosovo,Zuid-Afrika,Zimbabwe,Japan,Australië,Nieuw-Zeeland,Singapore,Myanmar,Thailand,Filippijnen
et,エストニア語,Andorra,Albaania,Armeenia,Argentina,Austria,Aserbaidžaan,Bosnia ja Hertsegoviina,Bangladesh,Belgia,Bulgaaria,Boliivia,Brasiilia,Bhutan,Botswana,Valgevene,Belize,Kanada,Šveits,Tšiili,Hiina,Kolumbia,Costa Rica,Küpros,Tšehhi Vabariik,Saksamaa,Taani,Alžeeria,Ecuador,Eesti,Egiptus,Hispaania,Soome,Prantsusmaa,Ühendkuningriik,Prantsuse Guajaana,Kreeka,Guatemala,Guajaana,Honduras,Horvaatia,Ungari,Indoneesia,Iirimaa,Iisrael,India,Island,Itaalia,Kõrgõzstan,Korea,Kasahstan,Liechtenstein,Sri Lanka,Lesotho,Leedu,Luksemburg,Läti,Maroko,Monaco,Moldova,Montenegro,Makedoonia,Malta,Mehhiko,Malaisia,Namiibia,Nicaragua,Holland,Norra,Nepal,Panama,Peruu,Poola,Portugal,Paraguay,Rumeenia,Serbia,Venemaa Föderatsioon,Rootsi,Sloveenia,Slovakkia,San Marino,Suriname,El Salvador,Svaasimaa,Tadžikistan,Türkmenistan,Tuneesia,Türgi Vabariik,Trinidad ja Tobago,Taiwan,Ühendriigid,Uruguay,Usbekistan,Vatikani linnriik,Venezuela,Vietnam,Kosovo Vabariik,Lõuna-Aafrika,Zimbabwe,Jaapan,Austraalia,Uus-Meremaa,Singapur,Myanmar,Tai,Filipiinid
